symbol,first_day
000001.XSHE,2005-01-04
000002.XSHE,2005-01-04
000004.XSHE,2005-01-04
000006.XSHE,2005-01-04
000007.XSHE,2005-01-04
000008.XSHE,2005-01-04
000009.XSHE,2005-01-04
000010.XSHE,2005-01-04
000011.XSHE,2005-01-04
000012.XSHE,2005-01-04
000014.XSHE,2005-01-04
000016.XSHE,2005-01-04
000017.XSHE,2005-01-04
000019.XSHE,2005-01-04
000020.XSHE,2005-01-04
000021.XSHE,2005-01-04
000025.XSHE,2005-01-04
000026.XSHE,2005-01-04
000027.XSHE,2005-01-04
000028.XSHE,2005-01-04
000029.XSHE,2005-01-04
000030.XSHE,2005-01-04
000031.XSHE,2005-01-05
000032.XSHE,2005-01-04
000034.XSHE,2005-01-04
000035.XSHE,2005-01-04
000036.XSHE,2005-01-04
000037.XSHE,2005-01-04
000039.XSHE,2005-01-04
000040.XSHE,2005-01-04
000042.XSHE,2005-01-04
000045.XSHE,2005-01-04
000048.XSHE,2005-01-04
000049.XSHE,2005-01-04
000050.XSHE,2005-01-04
000055.XSHE,2005-01-04
000056.XSHE,2005-01-04
000058.XSHE,2005-01-04
000059.XSHE,2005-01-04
000060.XSHE,2005-01-04
000061.XSHE,2005-01-04
000062.XSHE,2005-01-04
000063.XSHE,2005-01-04
000065.XSHE,2005-01-04
000066.XSHE,2005-01-04
000068.XSHE,2005-01-04
000069.XSHE,2005-01-04
000070.XSHE,2005-01-04
000078.XSHE,2005-01-04
000088.XSHE,2005-01-04
000089.XSHE,2005-01-04
000090.XSHE,2005-01-04
000096.XSHE,2005-01-04
000099.XSHE,2005-01-04
000100.XSHE,2005-01-04
000151.XSHE,2005-01-04
000153.XSHE,2005-01-04
000155.XSHE,2005-01-04
000156.XSHE,2005-01-04
000157.XSHE,2005-01-04
000158.XSHE,2005-01-04
000159.XSHE,2005-01-04
000301.XSHE,2005-01-04
000400.XSHE,2005-01-04
000401.XSHE,2005-01-04
000402.XSHE,2005-01-04
000403.XSHE,2005-01-04
000404.XSHE,2005-01-04
000407.XSHE,2005-01-04
000408.XSHE,2005-01-04
000409.XSHE,2005-05-30
000410.XSHE,2005-01-04
000411.XSHE,2005-01-04
000415.XSHE,2005-01-04
000417.XSHE,2005-01-04
000419.XSHE,2005-01-04
000420.XSHE,2005-01-04
000421.XSHE,2005-01-04
000422.XSHE,2005-01-04
000423.XSHE,2005-01-04
000425.XSHE,2005-01-04
000426.XSHE,2005-01-04
000428.XSHE,2005-01-04
000429.XSHE,2005-01-04
000430.XSHE,2005-01-04
000488.XSHE,2005-01-04
000498.XSHE,2005-01-04
000501.XSHE,2005-01-04
000503.XSHE,2005-01-04
000504.XSHE,2005-01-04
000505.XSHE,2005-01-04
000506.XSHE,2005-01-04
000507.XSHE,2005-01-04
000509.XSHE,2005-01-04
000510.XSHE,2005-01-04
000513.XSHE,2005-01-04
000514.XSHE,2005-01-04
000516.XSHE,2005-01-04
000517.XSHE,2005-01-04
000518.XSHE,2005-01-04
000519.XSHE,2005-01-04
000520.XSHE,2005-01-04
000521.XSHE,2005-01-04
000523.XSHE,2005-01-04
000524.XSHE,2005-01-04
000525.XSHE,2005-01-04
000526.XSHE,2005-01-04
000528.XSHE,2005-01-04
000529.XSHE,2005-01-04
000530.XSHE,2005-01-04
000531.XSHE,2005-01-04
000532.XSHE,2005-01-04
000533.XSHE,2005-01-04
000534.XSHE,2005-01-04
000536.XSHE,2005-01-04
000537.XSHE,2005-01-04
000538.XSHE,2005-01-04
000539.XSHE,2005-01-04
000541.XSHE,2005-01-04
000543.XSHE,2005-01-04
000544.XSHE,2005-01-04
000545.XSHE,2005-01-04
000546.XSHE,2005-01-04
000547.XSHE,2005-01-04
000548.XSHE,2005-01-04
000550.XSHE,2005-01-04
000551.XSHE,2005-01-04
000552.XSHE,2005-01-04
000553.XSHE,2005-01-04
000554.XSHE,2005-01-06
000555.XSHE,2005-01-04
000557.XSHE,2005-01-04
000558.XSHE,2005-01-04
000559.XSHE,2005-01-04
000560.XSHE,2005-01-04
000561.XSHE,2005-10-17
000563.XSHE,2005-01-04
000564.XSHE,2005-01-04
000565.XSHE,2005-01-04
000566.XSHE,2005-01-04
000567.XSHE,2005-01-04
000568.XSHE,2005-01-04
000570.XSHE,2005-01-04
000571.XSHE,2005-01-04
000572.XSHE,2005-01-04
000573.XSHE,2005-01-04
000576.XSHE,2005-01-04
000581.XSHE,2005-01-04
000582.XSHE,2005-01-04
000584.XSHE,2005-01-04
000586.XSHE,2005-01-04
000589.XSHE,2005-01-04
000590.XSHE,2005-01-04
000591.XSHE,2005-01-04
000592.XSHE,2005-01-04
000593.XSHE,2005-01-04
000595.XSHE,2005-01-04
000596.XSHE,2005-01-04
000597.XSHE,2005-01-04
000598.XSHE,2005-01-04
000599.XSHE,2005-01-04
000600.XSHE,2005-01-04
000601.XSHE,2005-01-04
000603.XSHE,2005-01-04
000605.XSHE,2005-01-04
000607.XSHE,2005-01-04
000608.XSHE,2005-01-04
000609.XSHE,2005-01-04
000610.XSHE,2005-01-04
000612.XSHE,2005-01-04
000615.XSHE,2005-01-04
000617.XSHE,2005-01-04
000619.XSHE,2005-01-04
000620.XSHE,2005-01-04
000622.XSHE,2005-01-04
000623.XSHE,2005-01-04
000625.XSHE,2005-01-04
000626.XSHE,2005-01-04
000627.XSHE,2005-01-04
000628.XSHE,2005-01-04
000629.XSHE,2005-01-04
000630.XSHE,2005-01-04
000631.XSHE,2005-01-04
000632.XSHE,2005-01-04
000633.XSHE,2005-01-04
000635.XSHE,2005-01-04
000636.XSHE,2005-01-04
000637.XSHE,2005-01-04
000639.XSHE,2005-01-04
000650.XSHE,2005-01-04
000651.XSHE,2005-01-04
000652.XSHE,2005-01-04
000655.XSHE,2005-01-04
000656.XSHE,2005-01-04
000657.XSHE,2005-01-04
000659.XSHE,2005-01-04
000661.XSHE,2005-01-04
000663.XSHE,2005-01-04
000665.XSHE,2005-01-04
000668.XSHE,2005-01-04
000669.XSHE,2005-01-04
000670.XSHE,2005-01-04
000672.XSHE,2005-01-04
000676.XSHE,2005-01-04
000677.XSHE,2005-01-04
000678.XSHE,2005-01-04
000679.XSHE,2005-01-04
000680.XSHE,2005-01-04
000681.XSHE,2005-01-04
