feature,model_gain,valid_rankic_baseline,valid_rankic_mean_after_shuffle,valid_rankic_drop_mean,valid_rankic_drop_std,repeats
fund__pb_ratio_lyr,209.26575366407636,0.0585434364519437,0.044178812030704,0.0143646244212397,,1
fund__book_to_market_ratio_lyr,118.08495150133967,0.0585434364519437,0.0568601826296946,0.0016832538222491,,1
fund__market_cap,26.608432985842228,0.0585434364519437,0.0571759101676666,0.0013675262842771,,1
fund__market_cap_3,129.0512318611145,0.0585434364519437,0.0576233585561887,0.000920077895755,,1
fund__invested_capital_lf,40.438398987054825,0.0585434364519437,0.0580004923146406,0.0005429441373031,,1
fund__ev_lyr,9.341530203819277,0.0585434364519437,0.0581100559714577,0.000433380480486,,1
fund__ev_lf,40.679038524627686,0.0585434364519437,0.0581516856594249,0.0003917507925188,,1
fund__market_cap_2,4.453624024987221,0.0585434364519437,0.058278708072766,0.0002647283791777,,1
fund__inventory_turnover_ttm,22.7709499001503,0.0585434364519437,0.0584026504002236,0.00014078605172,,1
fund__ev_no_cash_ttm,18.62923312187195,0.0585434364519437,0.0584527995779877,9.063687395606534e-05,,1
fund__inc_book_per_share_ttm,4.650670051574707,0.0585434364519437,0.0584530075470729,9.04289048708623e-05,,1
fund__invested_capital_lyr,5.3745198249816895,0.0585434364519437,0.058463622706471,7.981374547277181e-05,,1
fund__income_from_main_operations_lyr,5.64274001121521,0.0585434364519437,0.058477260206232,6.617624571170211e-05,,1
fund__ep_ratio_ttm,6.792220115661621,0.0585434364519437,0.0584905199571345,5.291649480926308e-05,,1
fund__ev_ttm,4.634760916233063,0.0585434364519437,0.0585351770064477,8.25944549608798e-06,,1
